2024-09-20 12:30:24 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 20.60.88.36, Protocol: TCP
2024-09-20 12:30:24 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 20.60.88.36, Protocol: TCP
2024-09-20 12:30:25 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 20.60.88.36, Protocol: TCP
2024-09-20 12:30:25 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 20.60.88.36, Protocol: TCP
2024-09-20 12:30:25 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 20.60.88.36, Protocol: TCP
2024-09-20 12:30:26 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 20.60.88.36, Protocol: TCP
2024-09-20 12:30:26 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 20.60.88.36, Protocol: TCP
2024-09-20 12:30:26 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 20.60.88.36, Protocol: TCP
2024-09-20 12:30:26 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 20.60.88.36, Protocol: TCP
2024-09-20 12:30:27 - MainProcess - INFO - ALLOWED - App: chrome.exe , IP: 239.255.255.250, Protocol: UDP
2024-09-20 12:30:27 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 20.60.88.36, Protocol: TCP
2024-09-20 12:30:28 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 20.60.88.36, Protocol: TCP
2024-09-20 12:30:28 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 20.60.88.36, Protocol: TCP
2024-09-20 12:30:28 - MainProcess - INFO - ALLOWED - App: chrome.exe , IP: 239.255.255.250, Protocol: UDP
2024-09-20 12:30:28 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 20.60.88.36, Protocol: TCP
2024-09-20 12:30:28 - MainProcess - INFO - ALLOWED - App: msedge.exe , IP: 20.212.88.117, Protocol: TCP
2024-09-20 12:30:29 - MainProcess - INFO - ALLOWED - App: chrome.exe , IP: 151.101.66.137, Protocol: TCP
2024-09-20 12:30:29 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 20.60.88.36, Protocol: TCP
2024-09-20 12:30:29 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 20.60.88.36, Protocol: TCP
